#ABBREVIATION,LONG NAME,COUNTS AS FOR FL STATIONS,DX Entity Number,Counts As Mult for FL,Counts As Mult for Other,Type
"VP8/S","SOUTH SANDWICH ISLANDS","VP8/S",240,true,false,DX
"VP9","BERMUDA","VP9",64,true,false,DX
"VQ9","CHAGOS ISLANDS","VQ9",33,true,false,DX
"VR","HONG KONG","VR",321,true,false,DX
"VU","INDIA","VU",324,true,false,DX
"VU4","ANDAMAN & NICOBAR IS.","VU4",11,true,false,DX
"VU7","LAKSHADWEEP ISLANDS","VU7",142,true,false,DX
"XE","MEXICO","XE",50,true,false,DX
"XF4","REVILLAGIGEDO","XF4",204,true,false,DX
"XT","BURKINA FASO","XT",480,true,false,DX
"XU","CAMBODIA","XU",312,true,false,DX
"XW","LAOS","XW",143,true,false,DX
"XX9","MACAO","XX9",152,true,false,DX
"XZ","MYANMAR","XZ",309,true,false,DX
"YA","AFGHANISTAN","YA",3,true,false,DX
"YB","INDONESIA","YB",327,true,false,DX
"YI","IRAQ","YI",333,true,false,DX
"YJ","VANUATU","YJ",158,true,false,DX
"YK","SYRIA","YK",384,true,false,DX
"YL","LATVIA","YL",145,true,false,DX
"YN","NICARAGUA","YN",86,true,false,DX
"YO","ROMANIA","YO",275,true,false,DX
"YS","EL SALVADOR","YS",74,true,false,DX
"YU","SERBIA","YU",296,true,false,DX
"YV","VENEZUELA","YV",148,true,false,DX
"YV0","AVES ISLAND","YV0",17,true,false,DX
"Z2","ZIMBABWE","Z2",452,true,false,DX
"Z3","NORTH MACEDONIA","Z3",502,true,false,DX
"Z6","REPUBLIC OF KOSOVO","Z6",522,true,false,DX
"Z8","REPUBLIC OF SOUTH SUDAN","Z8",521,true,false,DX
"ZA","ALBANIA","ZA",7,true,false,DX
"ZB","GIBRALTAR","ZB",233,true,false,DX
"ZC4","UK BASE AREAS ON CYPRUS","ZC4",283,true,false,DX
"ZD7","ST. HELENA","ZD7",250,true,false,DX
"ZD8","ASCENSION ISLAND","ZD8",205,true,false,DX
"ZD9","TRISTAN DA CUNHA & GOUGH ISLANDS","ZD9",274,true,false,DX
"ZF","CAYMAN ISLANDS","ZF",69,true,false,DX
"ZK3","TOKELAU ISLANDS","ZK3",270,true,false,DX
"ZL","NEW ZEALAND","ZL",170,true,false,DX
"ZL7","CHATHAM ISLANDS","ZL7",34,true,false,DX
"ZL8","KERMADEC ISLANDS","ZL8",133,true,false,DX
"ZL9","N.Z. SUBANTARCTIC IS.","ZL9",16,true,false,DX
"ZP","PARAGUAY","ZP",132,true,false,DX
"ZS","SOUTH AFRICA","ZS",462,true,false,DX
"ZS8","PR. EDWARD & MARION IS.","ZS8",201,true,false,DX
"R1","MARITIME MOBILE REGION 1","R1",0,true,false,DX
"R2","MARITIME MOBILE REGION 2","R2",0,true,false,DX
"R3","MARITIME MOBILE REGION 3","R3",0,true,false,DX
